created,modified,id,signalman_id,status,longitude,latitude,altitude
00:57.1,00:57.1,28491,5f20ab04-5080-4612-b49d-c5a34844f282,enabled,34.7862011,32.0918221,19.3957925
01:12.0,01:12.0,28492,5f20ab04-5080-4612-b49d-c5a34844f282,enabled,34.7842634,32.0933875,22.30921761
01:27.0,01:27.0,28493,5f20ab04-5080-4612-b49d-c5a34844f282,enabled,34.786203,32.0918134,20.01499993
01:42.0,01:42.0,28494,5f20ab04-5080-4612-b49d-c5a34844f282,enabled,34.7856442,32.0901512,18.76060748
01:57.0,01:57.0,28495,5f20ab04-5080-4612-b49d-c5a34844f282,enabled,34.7861389,32.0919576,26.89746394
02:12.1,02:12.1,28496,5f20ab04-5080-4612-b49d-c5a34844f282,enabled,34.7861532,32.0919565,29.14112939
02:27.0,02:27.0,28497,5f20ab04-5080-4612-b49d-c5a34844f282,enabled,34.7861675,32.0920515,36.27320625
02:42.0,02:42.0,28498,5f20ab04-5080-4612-b49d-c5a34844f282,enabled,34.7862981,32.09202,42.1111237
02:57.1,02:57.1,28499,5f20ab04-5080-4612-b49d-c5a34844f282,enabled,34.7862705,32.0920335,41.56121962
03:12.0,03:12.0,28500,5f20ab04-5080-4612-b49d-c5a34844f282,enabled,34.7862695,32.0920541,36.46334622
03:27.1,03:27.1,28501,5f20ab04-5080-4612-b49d-c5a34844f282,enabled,34.7861172,32.0919692,34.06790142
03:42.2,03:42.2,28502,5f20ab04-5080-4612-b49d-c5a34844f282,enabled,34.786118,32.0920039,34.08047793
03:57.1,03:57.1,28503,5f20ab04-5080-4612-b49d-c5a34844f282,enabled,34.783573,32.0936034,32.78554108
04:12.1,04:12.1,28504,5f20ab04-5080-4612-b49d-c5a34844f282,enabled,34.783573,32.0936034,32.87115832
04:27.1,04:27.1,28505,5f20ab04-5080-4612-b49d-c5a34844f282,enabled,34.783573,32.0936034,32.92845946
04:42.0,04:42.0,28506,5f20ab04-5080-4612-b49d-c5a34844f282,enabled,34.783573,32.0936034,27.65633978
04:52.9,04:52.9,28507,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78634555,32.09188894,18.37435532
04:54.3,04:54.3,28508,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78547442,32.09279209,4.319667816
04:57.0,04:57.0,28509,5f20ab04-5080-4612-b49d-c5a34844f282,enabled,34.783573,32.0936034,32.28684499
05:01.8,05:01.8,28510,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78615411,32.09207556,8.311916351
05:02.8,05:02.8,28511,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78634555,32.09188894,18.37435532
05:04.3,05:04.3,28512,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78547442,32.09279209,4.319667816
05:12.1,05:12.1,28513,5f20ab04-5080-4612-b49d-c5a34844f282,enabled,34.7862384,32.0920733,30.70522786
05:12.9,05:12.9,28514,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78634555,32.09188894,18.37435532
05:14.3,05:14.3,28515,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78547442,32.09279209,4.319667816
05:18.1,05:18.1,28516,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78617146,32.09214974,5.180812836
05:22.9,05:22.9,28517,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78634555,32.09188894,18.37435532
05:24.3,05:24.3,28518,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78547442,32.09279209,4.319667816
05:27.1,05:27.1,28519,5f20ab04-5080-4612-b49d-c5a34844f282,enabled,34.783573,32.0936034,30.6936068
05:33.0,05:33.0,28520,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78611815,32.09219647,4.631801605
05:33.7,05:33.7,28521,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78634555,32.09188894,18.37435532
05:34.2,05:34.2,28522,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78547442,32.09279209,4.319667816
05:42.1,05:42.1,28523,5f20ab04-5080-4612-b49d-c5a34844f282,enabled,34.7860069,32.0922018,36.80283163
05:43.0,05:43.0,28524,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78634555,32.09188894,18.37435532
05:44.3,05:44.3,28525,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78547442,32.09279209,4.319667816
05:48.3,05:48.3,28526,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78613768,32.09219039,5.021816254
05:52.9,05:52.9,28527,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78634555,32.09188894,18.37435532
05:54.4,05:54.4,28528,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78547442,32.09279209,4.319667816
05:57.1,05:57.1,28529,5f20ab04-5080-4612-b49d-c5a34844f282,enabled,34.7861293,32.0922446,26.1473968
06:03.5,06:03.5,28530,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78612469,32.09225925,5.031093597
06:03.6,06:03.6,28531,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78634555,32.09188894,18.37435532
06:04.3,06:04.3,28532,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78547442,32.09279209,4.319667816
06:12.2,06:12.2,28533,5f20ab04-5080-4612-b49d-c5a34844f282,enabled,34.7861622,32.0922859,25.6841849
06:13.0,06:13.0,28534,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78634555,32.09188894,18.37435532
06:14.4,06:14.4,28535,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78547442,32.09279209,4.319667816
06:18.9,06:18.9,28536,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78612946,32.09227019,5.666408539
06:23.0,06:23.0,28537,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78634555,32.09188894,18.37435532
06:24.2,06:24.2,28538,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78547442,32.09279209,4.319667816
06:27.1,06:27.1,28539,5f20ab04-5080-4612-b49d-c5a34844f282,enabled,34.7861628,32.0922862,21.3975358
06:32.9,06:32.9,28540,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78634555,32.09188894,18.37435532
06:33.6,06:33.6,28541,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.7863137,32.09236025,5.686672211
06:34.3,06:34.3,28542,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78547442,32.09279209,4.319667816
06:42.1,06:42.1,28543,5f20ab04-5080-4612-b49d-c5a34844f282,enabled,34.7861739,32.0922882,22.62540844
06:42.9,06:42.9,28544,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78634555,32.09188894,18.37435532
